======================================================================
POWER-DOWN ECO REPORT
======================================================================

Total unused cells found: 94447
Tiles with unused cells: 3240
Tie cells claimed: 3240

PER-TILE BREAKDOWN:
----------------------------------------------------------------------
  T11Y0: 30 unused cells, Tie: T11Y0__R1_CONB_0
  T11Y1: 30 unused cells, Tie: T11Y1__R1_CONB_0
  T11Y10: 30 unused cells, Tie: T11Y10__R1_CONB_0
  T11Y11: 30 unused cells, Tie: T11Y11__R1_CONB_0
  T11Y12: 30 unused cells, Tie: T11Y12__R1_CONB_0
  T11Y13: 30 unused cells, Tie: T11Y13__R1_CONB_0
  T11Y14: 30 unused cells, Tie: T11Y14__R1_CONB_0
  T11Y15: 23 unused cells, Tie: T11Y15__R1_CONB_0
  T11Y16: 16 unused cells, Tie: T11Y16__R1_CONB_0
  T11Y17: 14 unused cells, Tie: T11Y17__R1_CONB_0
  T11Y18: 12 unused cells, Tie: T11Y18__R1_CONB_0
  T11Y19: 7 unused cells, Tie: T11Y19__R1_CONB_0
  T11Y2: 30 unused cells, Tie: T11Y2__R1_CONB_0
  T11Y20: 6 unused cells, Tie: T11Y20__R1_CONB_0
  T11Y21: 9 unused cells, Tie: T11Y21__R1_CONB_0
  T11Y22: 4 unused cells, Tie: T11Y22__R1_CONB_0
  T11Y23: 11 unused cells, Tie: T11Y23__R1_CONB_0
  T11Y24: 11 unused cells, Tie: T11Y24__R1_CONB_0
  T11Y25: 18 unused cells, Tie: T11Y25__R1_CONB_0
  T11Y26: 19 unused cells, Tie: T11Y26__R1_CONB_0
  T11Y27: 23 unused cells, Tie: T11Y27__R1_CONB_0
  T11Y28: 25 unused cells, Tie: T11Y28__R1_CONB_0
  T11Y29: 27 unused cells, Tie: T11Y29__R1_CONB_0
  T11Y3: 27 unused cells, Tie: T11Y3__R1_CONB_0
  T11Y30: 25 unused cells, Tie: T11Y30__R1_CONB_0
  T11Y31: 28 unused cells, Tie: T11Y31__R1_CONB_0
  T11Y32: 29 unused cells, Tie: T11Y32__R1_CONB_0
  T11Y33: 28 unused cells, Tie: T11Y33__R1_CONB_0
  T11Y34: 27 unused cells, Tie: T11Y34__R1_CONB_0
  T11Y35: 30 unused cells, Tie: T11Y35__R1_CONB_0
  T11Y36: 28 unused cells, Tie: T11Y36__R1_CONB_0
  T11Y37: 29 unused cells, Tie: T11Y37__R1_CONB_0
  T11Y38: 30 unused cells, Tie: T11Y38__R1_CONB_0
  T11Y39: 29 unused cells, Tie: T11Y39__R1_CONB_0
  T11Y4: 29 unused cells, Tie: T11Y4__R1_CONB_0
  T11Y40: 30 unused cells, Tie: T11Y40__R1_CONB_0
  T11Y41: 29 unused cells, Tie: T11Y41__R1_CONB_0
  T11Y42: 30 unused cells, Tie: T11Y42__R1_CONB_0
  T11Y43: 29 unused cells, Tie: T11Y43__R1_CONB_0
  T11Y44: 30 unused cells, Tie: T11Y44__R1_CONB_0
  T11Y45: 30 unused cells, Tie: T11Y45__R1_CONB_0
  T11Y46: 30 unused cells, Tie: T11Y46__R1_CONB_0
  T11Y47: 30 unused cells, Tie: T11Y47__R1_CONB_0
  T11Y48: 30 unused cells, Tie: T11Y48__R1_CONB_0
  T11Y49: 30 unused cells, Tie: T11Y49__R1_CONB_0
  T11Y5: 27 unused cells, Tie: T11Y5__R1_CONB_0
  T11Y50: 30 unused cells, Tie: T11Y50__R1_CONB_0
  T11Y51: 30 unused cells, Tie: T11Y51__R1_CONB_0
  T11Y52: 30 unused cells, Tie: T11Y52__R1_CONB_0
  T11Y53: 30 unused cells, Tie: T11Y53__R1_CONB_0
  T11Y54: 30 unused cells, Tie: T11Y54__R1_CONB_0
  T11Y55: 30 unused cells, Tie: T11Y55__R1_CONB_0
  T11Y56: 30 unused cells, Tie: T11Y56__R1_CONB_0
  T11Y57: 30 unused cells, Tie: T11Y57__R1_CONB_0
  T11Y58: 30 unused cells, Tie: T11Y58__R1_CONB_0
  T11Y59: 30 unused cells, Tie: T11Y59__R1_CONB_0
  T11Y6: 29 unused cells, Tie: T11Y6__R1_CONB_0
  T11Y60: 30 unused cells, Tie: T11Y60__R1_CONB_0
  T11Y61: 30 unused cells, Tie: T11Y61__R1_CONB_0
  T11Y62: 30 unused cells, Tie: T11Y62__R1_CONB_0
  T11Y63: 30 unused cells, Tie: T11Y63__R1_CONB_0
  T11Y64: 30 unused cells, Tie: T11Y64__R1_CONB_0
  T11Y65: 30 unused cells, Tie: T11Y65__R1_CONB_0
  T11Y66: 30 unused cells, Tie: T11Y66__R1_CONB_0
  T11Y67: 30 unused cells, Tie: T11Y67__R1_CONB_0
  T11Y68: 30 unused cells, Tie: T11Y68__R1_CONB_0
  T11Y69: 30 unused cells, Tie: T11Y69__R1_CONB_0
  T11Y7: 30 unused cells, Tie: T11Y7__R1_CONB_0
  T11Y70: 30 unused cells, Tie: T11Y70__R1_CONB_0
  T11Y71: 30 unused cells, Tie: T11Y71__R1_CONB_0
  T11Y72: 30 unused cells, Tie: T11Y72__R1_CONB_0
  T11Y73: 30 unused cells, Tie: T11Y73__R1_CONB_0
  T11Y74: 30 unused cells, Tie: T11Y74__R1_CONB_0
  T11Y75: 30 unused cells, Tie: T11Y75__R1_CONB_0
  T11Y76: 30 unused cells, Tie: T11Y76__R1_CONB_0
  T11Y77: 30 unused cells, Tie: T11Y77__R1_CONB_0
  T11Y78: 30 unused cells, Tie: T11Y78__R1_CONB_0
  T11Y79: 30 unused cells, Tie: T11Y79__R1_CONB_0
  T11Y8: 29 unused cells, Tie: T11Y8__R1_CONB_0
  T11Y80: 30 unused cells, Tie: T11Y80__R1_CONB_0
  T11Y81: 30 unused cells, Tie: T11Y81__R1_CONB_0
  T11Y82: 30 unused cells, Tie: T11Y82__R1_CONB_0
  T11Y83: 30 unused cells, Tie: T11Y83__R1_CONB_0
  T11Y84: 30 unused cells, Tie: T11Y84__R1_CONB_0
  T11Y85: 30 unused cells, Tie: T11Y85__R1_CONB_0
  T11Y86: 30 unused cells, Tie: T11Y86__R1_CONB_0
  T11Y87: 30 unused cells, Tie: T11Y87__R1_CONB_0
  T11Y88: 30 unused cells, Tie: T11Y88__R1_CONB_0
  T11Y89: 30 unused cells, Tie: T11Y89__R1_CONB_0
  T11Y9: 30 unused cells, Tie: T11Y9__R1_CONB_0
  T12Y0: 30 unused cells, Tie: T12Y0__R1_CONB_0
  T12Y1: 30 unused cells, Tie: T12Y1__R1_CONB_0
  T12Y10: 30 unused cells, Tie: T12Y10__R1_CONB_0
  T12Y11: 30 unused cells, Tie: T12Y11__R1_CONB_0
